title,description,full_text,url,published_at,source,summary,topics,sentiment,key_entities,ingested_at
"Eulogy for the CIA Factbook: The free standard for world facts, long an educational staple, is gone","The Trump administration has shut down the CIA World Factbook, and there's much lamenting about the demise of a free source that many people used to check basic facts about countries","The Trump administration has shut down the CIA World Factbook, and there's much lamenting about the demise of a free source that many people used to check basic facts about countries

Eulogy for the CIA Factbook: The free standard for world facts, long an educational staple, is gone

If you attended school any time after the Nixon administration, then you likely beheld at some point the CIA World Factbook, a map and reference manual of Planet Earth and its inhabitants upon which nearly everyone could agree.

Maybe you read parts of it from a floppy disk or a CD-ROM for that social studies project due tomorrow. Or scanned its list of countries for Latvia, because that is the country you are representing next week in Model U.N. Even better, you wandered the earth in your imagination as you held the physical Factbook in your own hands, unfolding its maps and understanding, perhaps for the first time, that the thumbs-up gesture your friends flash each other is considered an obscene insult in parts of the Middle East, Europe and Argentina.

Who knew? The Factbook and its readers did, for more than six decades.

Its authors — some of the world's best intelligence-gatherers, who contributed thousands of their own photos — kept the curated database updated and online for public use at no charge. The reasons stated were geopolitical and philosophical. But since we are talking about facts, it also is true that the Factbook went public in 1975 with lofty statements of purpose at a time when Congress was revealing abuses by U.S. intelligence agencies, including the CIA.

“We share these facts with the people of all nations in the belief that knowledge of the truth underpins the functioning of free societies,” the CIA itself explained in its pages.

The spy agency is not sharing them anymore.

On Feb. 4, the Trump administration abruptly shuttered this widely accepted account of humanity and its flags, nations, customs, militaries and borders. The CIA framed the move as one of progress for an agency whose core mission has changed.

A great wave of grief rose from Factbook fans. Many said they mourned an America that valued knowledge for its own sake. Some saw darker forces at work under a president whose administration has promoted — in times of war and peace — “alternative facts.”

“Stay curious,” the CIA advised in its “fond farewell"" to the Factbook.

And, it might have added: Good luck figuring out what's true from the wild and frequentlyinaccurate world of the internet and artificial intelligence.

Decades before Google became an everyday verb, there was the Factbook.

Its origin story is rooted in the Japanese surprise attack on Pearl Harbor in 1941, a U.S. intelligence failure that inspired a more coordinated approach to gathering and organizing information on America's enemies. The Joint Army Navy Intelligence Studies was born, the country's first interdepartmental basic intelligence program. But by 1946, national security experts agreed that “the con",https://abcnews.com/US/wireStory/eulogy-cia-factbook-free-standard-world-facts-long-131741253,2026-04-05T14:16:01Z,Abcnews.com,"The Trump administration has shut down the CIA World Factbook, a free source of basic facts about countries.","CIA, Trump administration, education",negative,"Donald Trump, CIA, Trump administration",2026-04-06 14:59:34.908145
Cards that ruled Neymar out of Santos v Fla weren't for fouls,"Neymar is Santos’ biggest absence for today’s match against Flamengo, valid for the 10th round of the Brazilian Championship.The star is serving an automatic suspension after receiving his third y...","""If you look at the play, he gets a little jab from behind by one, then another from someone else. He went at him, a Remo player came over and leaned into him, in the heat of the moment, I think the referee could have shown some leniency. But the ref decided to act differently and gave the card. He’s a player who was caught up in the heat of the moment, he’s hot-blooded, but in my view he could have avoided that card,"" Cuca argued.",https://onefootball.com/en/news/cards-that-ruled-neymar-out-of-santos-v-fla-werent-for-fouls-42665171,2026-04-05T14:16:00Z,Onefootball.com,"Neymar was given a card for a foul in a match, but his coach Cuca believes the referee could have shown leniency.","Soccer, Referee, Neymar",negative,"Neymar, Cuca",2026-04-06 14:59:34.908145
NVIDIA Stock in 2026: Analysts Urge Buy as AI Demand Powers Growth Despite Valuation Concerns,"SANTA CLARA, Calif. — NVIDIA Corp. shares, trading around $177 as of early April 2026, continue to draw strong buy recommendations from Wall Street analysts amid explosive demand for artificial intelligence infrastructure, even as some investors question loft…",,https://www.ibtimes.com.au/nvidia-stock-2026-analysts-urge-buy-ai-demand-powers-growth-despite-valuation-concerns-1865473,2026-04-05T14:09:56Z,Ibtimes.com.au,"NVIDIA Corp. shares receive strong buy recommendations from analysts due to AI demand, despite valuation concerns.","NVIDIA, AI, stock market",positive,"NVIDIA Corp., Wall Street analysts",2026-04-06 14:59:34.908145
"Lego aces, brick by brick, in the age of Nvidia",Explore insights from the 2026 Brand Finance report on the resilience and evolution of iconic brands like Lego and Walmart.,"Each year, I look forward to the report on the world’s most valuable and strongest brands, published by Brand Finance, a respected brand valuation consultancy firm. Here are some of the top conclusions of the 2026 report:

Apple, Tata and NVIDIA

Apple remains the world’s most valuable brand, while Tata retains its top spot in India. Both these iconic brands have strengthened their valuations this year, through a consistent focus on their core purpose and by enhancing the trust and love they have earned among millions of customers.

Nvidia’s brand value has more than doubled since last year, and it is now the fifth most valued globally. This is an amazing rise in a single year, making it more valuable than Facebook and Walmart. Clearly, Nvidia’s rise signals the age of artificial intelligence, which is now upon us.

Of the top eight — Apple, Microsoft, Google, Amazon, Nvidia, Tik Tok, Walmart and Samsung — seven are native technology brands, with Walmart being the sole exception.

The report also lists the world’s “strongest” brands, which is quite different from the “most valuable” brands. These brands enjoy the strongest brand perception, which leads to the best outcome on customer behaviour. The five strongest brands are YouTube, WeChat, Microsoft, Google and Lego.

While many of these headlines are not surprising, I would like to dwell on some of the traditional brands — such as Lego, Walmart, Deloitte and Michelin — that truly surprised me with their resilience and strength in a world dominated by the rise and rise of AI.

Playing with LEGO

Lego is more than 90 years old, yet this toy maker holds its own as the fifth strongest brand in the world. It draws high admiration and enjoys a huge reputation. How does a toy brand manage this? First, it appeals both to children and adults, through toy sets of different complexities. As the Brand Finance report points out, familiarity of toy brands generally falls among older groups. Defying this trend, Lego has a familiarity of 86 per cent even among 55- to 64-year-olds. To bolster this inter-generational appeal, Lego has developed strategic partnerships with popular brands such as Ferrari and Harry Potter. It has also built deep emotional links with its customers, based on the timeless human desires of creativity, imagination and joy. Here is a case-study in marvellous brand reinvention, particularly given that Lego was virtually bankrupt just about 20 years ago.

Shopping at Walmart

Walmart is not as old as Lego, but still grey-haired at 64. Until around 15 years ago, it was slotted in our minds as a “traditional retailer” in a world overtaken by e-commerce. However, Walmart has evolved to become even more robust during the past few years. It began life with a hugely appealing consumer value proposition of “everyday low prices”, backed by a strong supply chain and economies of scale. In the past decade, it also added “convenience” through its successful e-commerce business, powered by a treasure t",https://www.thehindubusinessline.com/catalyst/lego-aces-brick-by-brick-in-the-age-of-nvidia/article70826676.ece,2026-04-05T14:01:11Z,BusinessLine,"The 2026 Brand Finance report highlights Apple as the world's most valuable brand, with Nvidia experiencing a significant rise in brand value.","AI, brand valuation, Nvidia",neutral,"Apple, Nvidia, Lego",2026-04-06 14:59:34.908145
I found 7 Windows apps that use your PC's NPU to improve efficiency and performance with AI — You might be surprised at what's on the list,"If you bought a new laptop in the last year, there's a good chance that it comes with an NPU. Besides Copilot+ tools in Windows 11, there are many apps that only get better thanks to the specialized AI hardware. Which ones are you using?","Microsoft made a big deal about the Neural Processing Unit (NPU) when it first unveiled Copilot+ PCs in 2024. The specialized piece of hardware is key to running AI tasks locally with more efficiency, and it has now spread from Qualcomm Snapdragon X chips to the latest Intel and AMD processors.

Although the rise of the NPU has largely been associated with Copilot+ AI tools in Windows 11, including Cocreator, Live Captions, Windows Studio Effects, and Recall, it's also being put to work by a growing number of third-party apps.

👉 Microsoft celebrates Windows 11 on Arm progress as users now spend the majority of their time in natively compiled apps — compatibility is no longer a concern

If your PC includes an NPU, and there's a good chance that it does in 2026, these apps are some of the best that actually make use of the specialized hardware.

1. Cephable — AI-assisted alternative inputs on PC

Getting Started with Cephable Professional - YouTube Watch On

Cephable is an AI software platform designed to accommodate the replacement of traditional PC input methods. Rather than a mouse and keyboard, Cephable offers adaptive controls via head, eye, or other motions (captured with a camera), as well as voice.

It can be configured to control apps and automate tasks, and it works on Windows, MacOS/iOS, and Android.

Your PC's NPU comes into play due to Cephable's on-device privacy stance. It keeps sensitive video and voice data out of the cloud, with the NPU providing a more efficient way to power the effects.

Cephable was originally designed to enhance accessibility for people with disabilities, but it has since been adopted by a much wider range of users who want to reduce screen time and improve productivity.

Free plans are available if you want to give Cephable a try, and quotes are available for enterprise and education scenarios.

2. Adobe Photoshop — AI-assisted photo editing

AI Photo Editing with Intel® Core™ Ultra Processors & Adobe Photoshop | Intel Business - YouTube Watch On

Most modern photo editors, including Adobe alternatives like Luminar NEO, GIMP, and Affinity Photo, now feature some sort of AI editing abilities, but Photoshop is usually the app that gets the most attention.

With an NPU in your PC, Photoshop tools like subject selection, background removal, denoising, upscaling, and masking happen faster and more efficiently.

Not only does this leave the CPU and GPU open for other tasks, but it also reduces battery draw and heat, both of which are especially important when you're editing photos on a laptop.

You can give Photoshop a try for free, but otherwise it will cost about $23 per month.

3. Norton — AI-assisted deepfake and scam protection

I know that many of our readers find Windows Defender to be all they need to protect their PC, but Norton Antivirus has recently added some great features that rely on an NPU to function.

I'm talking chiefly about AI-powered scam protection that can identify audio and video deepfakes",https://www.windowscentral.com/artificial-intelligence/apps-use-npu-ai-pcs,2026-04-05T14:01:06Z,Windows Central,Microsoft's Neural Processing Unit (NPU) is being used by various Windows apps to improve efficiency and performance with AI.,"AI, Windows, Microsoft",neutral,"Microsoft, Qualcomm, Intel",2026-04-06 14:59:34.908145
"AI is making crypto's security problem even worse, Ledger CTO warns","Ledger’s Charles Guillemet says artificial intelligence is making hacks cheaper and faster, forcing a rethink of how crypto systems stay secure.","Crypto platforms — and investors — have long suffered from hacker attacks and exploits. Now, artificial intelligence (AI) is making that threat even worse.

That’s the view of Charles Guillemet, chief technology officer at crypto wallet provider Ledger, who said the economics of cybersecurity are breaking down as AI tools make it faster and cheaper to attack systems.

""Finding vulnerabilities and exploiting them becomes really, really easy,"" Guillemet told CoinDesk in an interview. ""The cost is going down to zero.""

His remarks come as crypto heists are in the headlines again. Just this week, Solana-based decentralized finance protocol Drift was exploited, with attackers draining $285 million worth of digital assets. It is one of the most severe exploits of the year so far. A week before that, an attack on yield protocol Resolv led to $25 million in losses.

Altogether, over $1.4 billion in assets were stolen or lost in crypto attacks over the course of the past year, according to data by DefiLlama.

From asymmetry to arms race

Security has long relied on an imbalance: it should be harder and more expensive to hack a system than the potential reward.

But AI is eroding that advantage. Tasks that once took skilled researchers months, like reverse engineering software or chaining exploits, can now be done in seconds with the right prompts.

For crypto, where code often controls large pools of funds, that shift raises the stakes.

""You need to be perfect,"" Guillemet warned teams developing blockchain protocols.

The problem is compounded by AI-generated code. As more developers rely on AI tools, vulnerabilities could spread faster.

“There is no 'make it secure' button,” he said. ""We are going to produce a lot of code that will be insecure by design.""

Raising the security bar

For crypto protocols, that means rethinking security from the ground up.

Guillemet pointed to formal verification — using mathematical proofs to validate code — as a stronger approach than traditional audits, which may miss bugs.

Hardware-based security is another layer, he said. Devices like hardware wallets isolate private keys from internet-connected systems, reducing exposure.

""When you have a dedicated device not exposed to the internet, it is more secure by design,"" he said.

That approach is becoming more relevant as malware grows more advanced. Guillemet described attacks that scan compromised phones for wallet seed phrases, allowing hackers to drain funds without user interaction.

For average crypto users, Guillemet's message is blunt: assume systems can and will fail.

""You can’t trust most of the systems that you use,"" Guillemet said.

That could push more users toward cold storage, stronger operational security and keeping sensitive data offline. Even then, risks extend beyond software, including physical attacks targeting crypto holders.

Guillemet expects a divide ahead. Critical systems like wallets and protocols will invest heavily in security and adapt. ",https://www.coindesk.com/tech/2026/04/05/ai-is-making-crypto-s-security-problem-even-worse-ledger-cto-warns,2026-04-05T14:00:00Z,CoinDesk,"AI is exacerbating crypto's security problem, making it easier and cheaper for hackers to exploit systems, according to Ledger's CTO.","AI, crypto, security",negative,"Charles Guillemet, Ledger, Solana",2026-04-06 14:59:34.908145
‘Learn to sit with…’: Data analyst shares 7 simple life lessons that AI cannot teach you,"Data analyst Sakshi Mishra shares seven essential strategies to navigate daily life without over-reliance on artificial intelligence. These methods aim to preserve individual thought and decision-making. Mishra emphasizes embracing discomfort, practicing deep…","Sit with difficult problems



Deep listening



Think like an entrepreneur



Basic life skills



Reading



Relationship investments



Deeper sense of purpose





as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

Artificial intelligence has seeped so deep in almost every field in our daily lives that we fail to recognise its impact. In the professional world, AI makes tasks like data analysis, writing drafts, and coding much easier, while on the personal front, it shapes what we watch, what we purchase, and even how we communicate. But despite the easy accessibility of AI, over-reliance on these tools can slowly chip away at our individuality. But there are ways to overcome them, as pointed out by data analyst Sakshi Mishra in her latest X post.In an elaborate post, Sakshi Mishra listed 7 simple ways to navigate your daily life without AI, so that your thoughts, decisions and actions remain entirely your own, shaped by curiosity, lived experiences, and independent thinking rather than algorithms.Sakshi Mishra stressed the importance of sitting in discomfort as a crucial first step towards learning. In a world where answers are available in seconds, she encourages people to slow down and engage deeply with problems that don’t have immediate solutions. Instead of relying on quick fixes, she recommends writing about ideas you might not fully understand and attempting to solve challenges without a clear formula, as it enables independent thinking.Another key lesson highlighted by the data analyst is the ability to listen genuinely and patiently. She pointed out that listening without any judgment not only strengthens personal relationships but also sharpens thinking. Knowing when to speak, how to articulate ideas clearly, and when to hold back are skills that become increasingly valuable in a fast-paced, AI-driven world where meaningful communication often takes a backseat.You might not be an entrepreneur, but you can always try to think like one with the correct mindset, not necessarily to build companies, but to approach life with a motive. Sakshi Mishta explains that identifying problems, taking ownership, and creating value from scratch helps you to stay relevant and proactive, rather than becoming passive consumers of technology.Beyond intellectual growth, Sakshi Mishra underlines the importance of everyday life skills such as cooking, cleaning, and swimming, as these seemingly simple abilities make you more independent and self-reliant. In her view, confidence built through managing one’s own life is something no academic degree or AI tool can replicate.Sakshi Mishra further urges you to expand your perspective by reading across genres, including psychology, finance, social systems, and inequality. She believes that understanding how different people live and think helps you to develop empathy and think outside the box. This broader perspective is crucial in this interconnected world.In an age dominat",https://economictimes.indiatimes.com/magazines/panache/learn-to-sit-with-data-analyst-shares-7-simple-life-lessons-that-ai-cannot-teach-you/articleshow/130040541.cms,2026-04-05T13:59:30Z,The Times of India,"A data analyst shares 7 simple life lessons that AI cannot teach, focusing on individuality and independent thinking.","AI, self-improvement, productivity",positive,Sakshi Mishra,2026-04-06 14:59:34.908145
‘Cognitive Surrender’ Is a New and Useful Term for How AI Melts Brains,"Once you learn this term, you will unfortunately see it everywhere.",,https://gizmodo.com/cognitive-surrender-is-a-new-and-useful-term-for-how-ai-melts-brains-2000742595,2026-04-05T13:47:51Z,Gizmodo.com,The term 'Cognitive Surrender' is used to describe how AI can overwhelm and impair human cognitive abilities.,"AI, cognitive abilities, technology",negative,,2026-04-06 14:59:34.908145
This Decade’s Visually Stunning Terminator Replacement Movie Is Now a Netflix Hit in the U.S.,"Artificial intelligence has been a key focus of sci-fi cinema for decades. Well before AI became an increasingly prevalent part of our everyday lives, movie fans were treated to films like Blade Runner, The Terminator, Her, Ex Machina, The Matrix, and more. T…","Artificial intelligence has been a key focus of sci-fi cinema for decades. Well before AI became an increasingly prevalent part of our everyday lives, movie fans were treated to films like Blade Runner, The Terminator, Her, Ex Machina, The Matrix, and more. These types of stories have become all the more timely and relevant today, which is why AI continues to be such a fascinating topic for filmmakers to explore. A recent notable example is The Creator, Gareth Edwards’ 2023 offering that stars John David Washington as a special forces agent who finds himself in the middle of a war between humanity and AI. The film had a relatively soft box office performance, but now it’s doing well on streaming.

Videos by ComicBook.com

For the week of March 23rd – 29th, The Creator was the No. 9 movie on Netflix in the United States, beating out The Bad Guardian to secure its place on the chart. This was the first week The Creator placed in Netflix’s top 10.

The Creator Is an Ambitious Sci-Fi Film Worth Watching

Image Courtesy of 20th Century Studios

When The Creator premiered, it arguably made a muted impact. Earning a 67% critics score on Rotten Tomatoes, the film grossed only $104.3 million worldwide against its $80 million production budget. It is worth mentioning that the film released in the midst of the 2023 Hollywood labor strikes, meaning the cast was unable to promote it. That might have had some effect on The Creator‘s box office performance; in its opening weekend, it placed third, behind Saw X and PAW Patrol: The Mighty Movie. Sci-fan fans should not let the uneven reception dissuade them from adding The Creator to their watchlists, as it’s very much a film worth checking out.

With Gareth Edwards behind the camera, one of The Creator‘s biggest selling points, unsurprisingly, is its visuals. Edwards, who has a background in visual effects, has always been a master of portraying scale on screen and immersing viewers with intricate production design. The Creator is another great example of those sensibilities; the sci-fi world Edwards and his crew crafted feels practical and lived-in, and the Oscar-nominated special effects are truly stunning. It’s incredible that the film cost “only” $80 million to make because, in terms of the visuals, The Creator rivals the best of what Hollywood’s blockbusters have to offer. It’s proof that you don’t need to spend well over $200 million to produce something that deserves to be seen on the biggest of screens.

The narrative is where The Creator is a bit more mixed. On one hand, it’s admirable that Edwards set out to make an original sci-fi film that tackles heady topics and attempts to answer pressing questions about the current state of the world. It’s the kind of ambitious project that Hollywood needs more of, however, the general consensus is that The Creator fell short of realizing its full potential. While there’s a lot to appreciate over the course of its run time, some of its themes are short changed, m",http://comicbook.com/movies/news/this-decades-visually-stunning-terminator-replacement-movie-is-now-a-netflix-hit-in-the-u-s/,2026-04-05T13:42:23Z,ComicBook.com,"The Creator, a sci-fi film by Gareth Edwards, has become a Netflix hit in the U.S. after a soft box office performance.","AI, movies, Netflix",positive,"Gareth Edwards, John David Washington, Netflix",2026-04-06 14:59:34.908145
Peter Thiel's 10 Most Insightful Quotes: Timeless Wisdom from Tech's Bold Contrarian,"SAN FRANCISCO — Peter Thiel, the billionaire co-founder of PayPal and Palantir Technologies and an early investor in Facebook, remains one of Silicon Valley's most provocative thinkers.",,https://www.ibtimes.com.au/peter-thiels-10-most-insightful-quotes-timeless-wisdom-techs-bold-contrarian-1865462,2026-04-05T13:42:07Z,Ibtimes.com.au,"Peter Thiel, co-founder of PayPal and Palantir, shares his insightful quotes on tech and innovation.","Peter Thiel, PayPal, Palantir",neutral,"Peter Thiel, PayPal, Palantir",2026-04-06 14:59:34.908145
"Target Warns That If Its AI Shopping Agent Makes an Expensive Mistake, You’ll Have to Pay for It","The company ""does not purport to guarantee that an Agentic Commerce Agent will act exactly as you intend in all circumstances.""
The post Target Warns That If Its AI Shopping Agent Makes an Expensive Mistake, You’ll Have to Pay for It appeared first on Futuris…","Sign up to see the future, today Can’t-miss innovations from the bleeding edge of science and tech Email address Sign Up Thank you!

Big box chains have proudly embraced artificial intelligence — but don’t expect them to help when their AI assistants charge your card for hallucinated garbage.

That trend, in which retail giants force their AI initiatives on consumers while distancing themselves from its failures, is growing. While that attitude certainly isn’t unique to big box stores, it’s increasingly becoming their default setting, revealing the ridiculous double standard baked into the AI boom.

Target is the latest to jump on the bandwagon. According to Business Insider, the Minnesota-based retail corporation recently updated its terms and conditions to make it clear that customers — not the company — would be responsible for the failures and hallucinations of its upcoming AI shopping assistant.

That virtual buddy, which runs on Google’s Gemini, is supposed to help online shoppers finish Target runs on their users’ behalf. Under the new terms, if a customer uses the Gemini agent to do their shopping for them, any transaction performed by the AI would be “considered transactions authorized by you.” Translation: any mistake by the AI agent — whether it buys the wrong item entirely, or a super expensive version of the right one without your consent — will come out of your pocket.

“You are responsible for reviewing activity performed by your Agentic Commerce Agent and for promptly notifying the Agentic Commerce Agent and Target of any activity you believe is unauthorized or outside the scope of permissions you approved,” the new terms state.

If that weren’t enough proof that Target doesn’t stand by its product, it gets more explicit: “Target does not purport to guarantee that an Agentic Commerce Agent will act exactly as you intend in all circumstances. You should review orders, account activity, and settings regularly.”

Speaking to BI, a Target spokesperson confirmed that the updated language is a nod to the coming Gemini assistant, but caveated that customers are still welcome to try to return their purchases, same as ever.

The company joins other retail giants like Walmart in rolling out AI shopping agents that it openly distrusts. Walmart, which recently outraged consumers with AI-powered price gouging, also updated its terms of use to cover for mistakes made by its AI shopping assistant, Sparky.

“Due to the nature of Generative AI, the information, responses and recommendations generated for you and other users through Generative AI Features… may not be accurate, complete or up-to-date and may be misleading or contain errors and omissions, or the Generative AI Features may misunderstand the Content that you input… and may be responding to a different question than asked,” the company’s new policy states. “None of these sources have been verified by Walmart.”

More on AI agents: Watchdog Issues Grim Warning About Letting AI Run Your Li",http://futurism.com/artificial-intelligence/target-ai-agent-tos,2026-04-05T13:41:11Z,Futurism,"Target updated its terms to hold customers responsible for AI shopping assistant mistakes, including unauthorized transactions.","AI, retail, Target",negative,"Target, Google, Business Insider",2026-04-06 14:59:34.908145
​Beyond the Code: Reclaiming Human Agency in an AI-First World,"Artificial intelligence has come of age, moving from a domain of technological novelty to a defining force reshaping global economic, social and industrial systems. Moreover, its ability to process vast amounts of data, streamline processes and provide insigh…","Artificial intelligence has come of age, moving from a domain of technological novelty to a defining force reshaping global economic, social and industrial systems. Moreover, its ability to process vast amounts of data, streamline processes and provide insights on a scale unimaginable a decade ago has made it imperative for the overall functioning of governments, businesses and academic institutions. In this regard, AI also holds out the promise of efficiency, innovation and economic development, but lurking behind the promise is a question both urgent and deep that pertains to us adopting AI, but who else will adopt AI?

The answer is not straightforward, but one that entails a complex interplay of the development of labor, structural inequality, environmental necessity and unique alterations in human cognition and agency. The world population has risen steadily over the last ten years, from approximately 7.8 billion in 2020 to a projected 8.2 billion in 2025, as proposed by the UN. Although a higher population ideally means a greater labor force and bigger markets, it also simultaneously stresses employment systems. The AI burst adds to the problem by increasingly automating repetitive manual and even mental tasks. While nations grapple with accommodating increasing populations, they also have to contend with the structural displacement that comes with the speed of AI penetration.

Work creation has lagged behind such population pressures. The International Labour Organization (ILO) originally projected the development of 60 million new jobs by 2025, but reduced the number to 53 million when the growth of the economy slowed down, as quoted by Challenger, Gray & Christmas. Therefore, a vast majority of these new roles involve high-level technical and AI ability, leaving the conventional workforce increasingly at risk. Consequently, this intensified disconnection adds more pressure to the urgency of getting by on the basis of reskilling and forward-looking workforce planning. Without progressive policies, AI can further exacerbate the global divide between high-skill and low-skill labor markets.

Beyond the bottom line: the collateral impact of automation

On a different note, AI business deployment levels have sped up. Over 25% of large firms had already implemented AI in their operations by 2019, as indicated by the Organization for Economic Cooperation and Development (OECD), given that AI is more operationally efficient, cheaper and more often makes strategic choices. Yet this speed comes at significant human expenses. Analytics, decision-making and creative work are under threat. Overemphasizing efficiency at the expense of greater social costs can lead to incremental erosion of human agency in decision-making and innovation.

Furthermore, job dismissals have already been hit by trade barriers, geopolitics, sanctions and intellectual property conflicts, which are compounded by restructuring due to AI. Over 206,000 employees were discharged b",https://www.fairobserver.com/economics/beyond-the-code-reclaiming-human-agency-in-an-ai-first-world/,2026-04-05T13:34:11Z,Fair Observer,"Artificial intelligence is reshaping global systems, but raises concerns about labor, inequality, and human agency.","AI, labor, inequality",neutral,"International Labour Organization (ILO), UN, Challenger, Gray & Christmas",2026-04-06 14:59:34.908145
"Former CIA Advisor: The AI Industry Is Using the Same ""Creative Finance"" That Blew Up the Banking System in 2008","In a New Video Presentation, Jim Rickards Exposes the Off-Balance-Sheet Debt Arrangements and Circular Financing Schemes He Says Are Hiding the True Financial Risk Across the AI Sector In a New Video Presentation, Jim Rickards Exposes the Off-Balance-Sheet De…","Washington, D.C., April 05, 2026 (GLOBE NEWSWIRE) -- In the years before the 2008 financial crisis, some of America's most prestigious banks were quietly using a financial technique to make their balance sheets look far healthier than they actually were. They moved debt into separate legal entities — special purpose vehicles — where it wouldn't show up in their public filings. When markets turned, investors discovered the true scale of the risk far too late.

Jim Rickards believes the same playbook is being run today — this time inside the artificial intelligence industry.

In a newly released video presentation , the economist, former CIA advisor, and bestselling author walks viewers through what he describes as a pattern of financial engineering across the AI sector that he says bears troubling similarities to the practices that preceded the last two major market crises.

Special Purpose Vehicles — and Why the Name Should Sound Familiar

The presentation examines how major technology companies have begun using separate legal entities to finance AI infrastructure in ways that keep significant debt obligations off their primary balance sheets. Rickards cites public examples of major firms raising tens of billions through these structures specifically to avoid showing that obligation to investors.

""These were the same shady accounting practices used by Enron and Lehman Brothers,"" Rickards states in the presentation. ""In 2008, investors had no idea how much risk banks were truly carrying — and that's what created panic.""

Mark Zandi, the chief economist at Moody's Analytics, is quoted in the presentation describing these arrangements as ""a huge red flag"" and expressing concern about a 2008-like scenario.

Circular Financing: The Money Going Nowhere

A second major focus of the presentation is what Rickards calls ""circular financing"" — an arrangement he documents across the AI sector in which companies are effectively lending each other money to buy each other's products, generating revenue on paper while the underlying economic exchange creates little real value.

He draws a direct comparison to similar practices employed by Cisco and other networking companies during the dotcom boom — deals that produced impressive-looking sales figures right up until the moment the capital dried up and the entire structure collapsed. As Rickards explains the mechanics in the presentation, it amounts to taking money from one pocket and putting it into the other — and then recording it as revenue.

Why This Matters Beyond the Balance Sheet

The concern Rickards raises isn't primarily about accounting. It's about what happens when the market discovers the true level of risk that has been accumulating inside a financial system it believed was transparent.

In 2008, he argues, the opacity of the banking system's off-balance-sheet exposure turned a serious but manageable housing correction into a global financial catastrophe. He believes the same dynamic — hidden risk",https://www.globenewswire.com/news-release/2026/04/05/3268229/0/en/Former-CIA-Advisor-The-AI-Industry-Is-Using-the-Same-Creative-Finance-That-Blew-Up-the-Banking-System-in-2008.html,2026-04-05T13:30:00Z,GlobeNewswire,Former CIA advisor Jim Rickards warns that the AI industry is using financial techniques similar to those that led to the 2008 financial crisis.,"AI, regulation, financial crisis",negative,"Jim Rickards, Mark Zandi, Moody's Analytics",2026-04-06 14:59:34.908145
" Juve v Como for transfers, Leao up for sale, Roma-Osorio ","On Easter Sunday, football doesn’t stop: Lucescu’s condition is worsening and, speaking of less serious news, Conte seems to be the favorite to become Italy’s new head coach.Now let’s look at ...","Now let’s look at the most important news of the day regarding Serie A clubs.

OneFootball Videos

Juve, competition from Como for the 2004-born player

This browser is not supported, please use a different one or install the app

A few days ago, Juventus watched attacking midfielder Ivan San José Cantalejo live, a 2004-born Valladolid player whose contract is expiring.

According to La Gazzetta dello Sport, however, Como are also interested in the player: the Bianconeri will try to rely on the club’s prestige, while Fabregas’ team can offer a tailor-made technical project. Several Bundesliga clubs are also interested in him.

Milan, Leao could leave and Pulisic renewal

This browser is not supported, please use a different one or install the app

Sky and Sportitalia journalist Luca Cilli gave an interview to MilanNews, speaking about Leao’s future: ""In the summer, Leao could leave Milan. In other words: offers will be considered"".

Pulisic’s future seems more certain: ""Pulisic is willing, the player is on board, and the club intends to make him central to the project. The conditions are there to move forward together"".

Inter, meeting among players without Chivu

This browser is not supported, please use a different one or install the app

As Tuttosport writes, yesterday a couple of senior figures in the Nerazzurri dressing room gathered the whole team for a discussion without Cristian Chivu.

The coach gave his approval to the initiative, and the aim of the meeting was to shake off the after-effects, especially among the Italian players, following the international break. That intention was confirmed by Lautaro to DAZN: ""We need to turn the page, there’s no time to think about the past"".

Napoli, Anguissa is not untouchable

Talks over Anguissa’s renewal are ongoing, but a positive outcome is not guaranteed. According to Il Mattino, if no agreement is reached, the player could be sold.

The newspaper reports: ""Important does not mean untouchable if things become too complicated. So these could be their final months together; nothing has been written yet”.

Roma, Osorio watched

As Danish outlet Ekstra Bladet writes, Roma have reportedly watched 2004-born Osorio live: a Chilean right winger owned by Midtylland.

The player is valued at around €10 million and this season has scored 4 goals and provided 6 assists.

Lazio, is Motta making Provedel expendable?

Motta’s excellent performances could change the picture for Lazio’s goalkeeping situation, according to Il Messaggero.

Provedel’s contract runs until 2027 and there had already been talk of a renewal, but now, after Motta’s performances, his return from injury will be carefully assessed before investing in a further extension.

Fiorentina, when the Fiesole will open

According to La Nazione, the structure that will support the new Curva Fiesole has been completed: next come the installation of the steps and then the roof.

The opening of the new stand is scheduled for May 2027, with the comp",https://onefootball.com/en/news/juve-v-como-for-transfers-leao-up-for-sale-roma-osorio-42664942,2026-04-05T13:29:00Z,Onefootball.com,"Juventus and Como are competing for a 2004-born player, while Milan's Leao may leave and Pulisic's renewal is in progress.","Serie A, Juventus, Milan",neutral,"Juventus, Como, Milan, Leao, Pulisic",2026-04-06 14:59:34.908145
